Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
0610009B22Rik,0.0207284660817777,0.0468165529892225,0.0019436055341950126,0.0924614945397469,0.16447188286963296,0.004648635005155045,0.006201612875779095,0.00541942610766516,0.0008352400523737909,0.004645331253804553,0.005005455198759694,0.0003684121835977408
0610009O20Rik,0.011486225053537006,0.13851702976311941,0.0023310922398722413,0.05877429278059374,0.5200656895990677,0.009373325481623116,0.0033071965122727547,0.024795287861543593,0.00048716545588042056,0.0021023072787486976,0.023278755102218773,0.00039059010625161147
0610010F05Rik,0.003134668324180561,0.23003288799710173,0.0025718165301095003,0.01717714852616215,0.9248767535972912,0.009304372128698207,0.0009138002956214331,0.056978396951188656,0.0006684244586004386,0.0006156308025299061,0.048894176516342494,0.0005682888292723293
0610010K14Rik,0.019728858123715623,0.07303155043502041,0.0016068390157102212,0.07595909550035147,0.2521330795861524,0.004832153225981691,0.006278940233099223,0.008776719307305694,0.00043795286571917107,0.004129451027117165,0.008326983047364513,0.00022626380702044004
0610012G03Rik,0.005450454455676423,0.08180145285524819,0.005127063641569699,0.029869544750701048,0.33245722716457127,0.017624965176270754,0.003127740943645837,0.013963712429020947,0.0014521074210704682,0.0013708493227110844,0.012798108965527695,0.0008994414315096802
0610030E20Rik,0.0051429500194526525,0.034015128328881705,0.006581069928126261,0.0043121723139344864,0.12248582210261473,0.013858830506593502,0.004175656221463192,0.005433480738063408,0.003317018286029661,0.0026000224974267036,0.004766014842538788,0.0009157025975536272
0610037L13Rik,0.009439076362017882,0.08246903986934265,0.003204045815067972,0.02783721278861364,0.31178365340454783,0.009481453373668522,0.003824048604652289,0.010992070081070015,0.0007897208042099678,0.0021593082379524394,0.010408160698539677,0.000484869029041499
0610039K10Rik,0.0030933668419808776,0.20914207432009063,0.003607362698072084,0.021799858611799998,0.859206888938732,0.014049665579706496,0.0005889722636842097,0.0375419569334737,0.0008230456680037739,0.0004614939851499022,0.033095716531200775,0.000692348320811302
0610040B10Rik,0.0006364513032393177,0.027859893480272836,0.007066085622406027,0.0004040025119032313,0.1081667857443555,0.023626415949413164,0.0005942669815879255,0.00533377280062007,0.0023995302860021868,0.0002913192307789595,0.004446051661732807,0.0010386066113407246
1010001B22Rik,0.0007013488122578611,0.3679093863304146,0.002393179200859089,0.002822640361096721,1.3301950299848453,0.007958139324693553,0.0001323783758780939,0.08104407844494327,0.0005192887387967553,0.00011453184879849901,0.0699053101456052,0.0004454985024070048
1110002L01Rik,0.0015985015972527859,0.04195692403541523,0.005428011488808695,0.0020293532952332036,0.13335977553442466,0.014283673133238872,0.0012824898606050364,0.008065837776877464,0.0019779085898123548,0.0006986764987385312,0.007048191629916016,0.0009355125195416368
1110004E09Rik,0.0005594760809087429,0.04450656882337842,0.006423816327094544,0.0003736671676482385,0.14266409252124831,0.01862394572365097,0.000501548186493459,0.010826862427132202,0.0019655725440559245,0.00017769825129149963,0.009237381933360222,0.0012825757201676738
1110004F10Rik,0.005228180597567126,0.03580636847733885,0.00639378645331831,0.003561498916147613,0.10530970397092247,0.012720031258466744,0.004792206642007824,0.006886263709465429,0.0029593439022943657,0.002419685628287312,0.006253100617241571,0.0011227783451503242
